id,title,company,location,url,job_type,experience_level,remote_type,salary_min,salary_max,salary_currency,first_seen_at,last_seen_at,is_active,source_name,source_type,compliance_status
1018,"Software Development Engineer, Frontier AI & Robotics",Amazon,"San Francisco, CA",https://www.amazon.jobs/en/jobs/2914306/software-development-engineer-frontier-ai-robotics,full-time,entry,onsite,,,,2025-12-14 12:14:11.669441,2025-12-14 12:14:11.669441,1,software-development_amazon_jobs,amazon_jobs,conditional
966,"Software Development Graduate (2025, Stores), Brisbane",Amazon,Brisbane,https://www.amazon.jobs/en/jobs/2751334/software-development-graduate-2025-stores-brisbane,full-time,entry,onsite,,,,2025-12-14 12:14:11.400097,2025-12-14 12:14:11.400097,1,software-development_amazon_jobs,amazon_jobs,conditional
965,"Software Development Graduate (2026, Stores), Brisbane",Amazon,Brisbane,https://www.amazon.jobs/en/jobs/3060829/software-development-graduate-2026-stores-brisbane,full-time,entry,onsite,,,,2025-12-14 12:14:11.393321,2025-12-14 12:14:11.393321,1,software-development_amazon_jobs,amazon_jobs,conditional
947,"Software Development Graduate (2026, Aws), Sydney",Amazon,Sydney,https://www.amazon.jobs/en/jobs/3078383/software-development-graduate-2026-aws-sydney,full-time,entry,onsite,,,,2025-12-14 12:14:11.306217,2025-12-14 12:14:11.306217,1,software-development_amazon_jobs,amazon_jobs,conditional
908,"Software Development Engineer- Simulation, Frontier AI Robotics",Amazon,"San Francisco, CA",https://www.amazon.jobs/en/jobs/3098613/software-development-engineer-simulation-frontier-ai-robotics,full-time,entry,onsite,,,,2025-12-14 12:14:11.077343,2025-12-14 12:14:11.077343,1,software-development_amazon_jobs,amazon_jobs,conditional
857,Junior Software Development Engineer- San Luis Obispo,Amazon,"San Luis Obispo, CA",https://www.amazon.jobs/en/jobs/2837385/jr-software-development-engineer-san-luis-obispo,part-time,entry,onsite,,,,2025-12-14 12:14:10.751221,2025-12-14 12:14:10.751221,1,software-development_amazon_jobs,amazon_jobs,conditional
786,"Software Development Engineer, Alexa + AI & Devices, Alexa+ Devices & AI Developer Tech",Amazon,"Bellevue, WA",https://www.amazon.jobs/en/jobs/3071454/software-development-engineer-alexa-ai-devices-alexa-devices-ai-developer-tech,full-time,entry,onsite,,,,2025-12-14 12:14:10.302192,2025-12-14 12:14:10.302192,1,software-development_amazon_jobs,amazon_jobs,conditional
746,"Electrical Engineering Graduate , Graviton Team",Amazon,Tel Aviv,https://www.amazon.jobs/en/jobs/3124402/electrical-engineering-graduate-graviton-team,full-time,entry,onsite,,,,2025-12-14 12:14:10.022859,2025-12-14 12:14:10.022859,1,software-development_amazon_jobs,amazon_jobs,conditional
733,"Sdet - Software Engineer Test, Alexa AI Developer Tech",Amazon,Pune,https://www.amazon.jobs/en/jobs/3122613/sdet-software-eng-test-alexa-ai-developer-tech,full-time,entry,onsite,,,,2025-12-14 12:14:09.923676,2025-12-14 12:14:09.923676,1,software-development_amazon_jobs,amazon_jobs,conditional
732,"Software Development Engineer, Alexa AI Developer Tech",Amazon,Pune,https://www.amazon.jobs/en/jobs/3083395/software-development-engineer-alexa-ai-developer-tech,full-time,entry,onsite,,,,2025-12-14 12:14:09.916249,2025-12-14 12:14:09.916249,1,software-development_amazon_jobs,amazon_jobs,conditional
729,"Software Development Engineer , Agi Customization",Amazon,"Cambridge, MA",https://www.amazon.jobs/en/jobs/3115769/software-development-engineer-agi-customization,full-time,entry,onsite,,,,2025-12-14 12:14:09.903644,2025-12-14 12:14:09.903644,1,software-development_amazon_jobs,amazon_jobs,conditional
701,"Sap UI Developer, Amazon Leo",Amazon,"Bellevue, WA",https://www.amazon.jobs/en/jobs/3006884/sap-ui-developer-amazon-leo,full-time,entry,onsite,,,,2025-12-14 12:14:09.766180,2025-12-14 12:14:09.766180,1,software-development_amazon_jobs,amazon_jobs,conditional
690,Devops Apprentice - 24 Months Fixed Term Contract,Amazon,"London, UK",https://www.amazon.jobs/en/jobs/3126639/devops-apprentice-24-months-fixed-term-contract,full-time,entry,onsite,,,,2025-12-14 12:14:09.718152,2025-12-14 12:14:09.718152,1,software-development_amazon_jobs,amazon_jobs,conditional
658,"Software Development Engineer (ml), Agi Foundations",Amazon,"Bellevue, WA",https://www.amazon.jobs/en/jobs/3040946/software-development-engineer-ml-agi-foundations,full-time,entry,onsite,,,,2025-12-14 12:14:09.552765,2025-12-14 12:34:38.064063,1,software-development_amazon_jobs,amazon_jobs,conditional
656,"Software Developer Engineer (ml), Agi Foundations",Amazon,"Sunnyvale, CA",https://www.amazon.jobs/en/jobs/3090523/software-dev-engineer-ml-agi-foundations,full-time,entry,onsite,,,,2025-12-14 12:14:09.541228,2025-12-14 12:34:37.943918,1,software-development_amazon_jobs,amazon_jobs,conditional
568,"Software Engineer/ai Engineer, Ies Latech & Gis",Amazon,Bra,https://www.amazon.jobs/en/jobs/3117395/software-engineer-ai-engineer-ies-latech-gis,full-time,entry,remote,,,,2025-12-14 12:14:09.058599,2025-12-14 12:14:09.058599,1,software-development_amazon_jobs,amazon_jobs,conditional
