id,title,company,location,url,job_type,experience_level,remote_type,salary_min,salary_max,salary_currency,first_seen_at,last_seen_at,is_active,source_name,source_type,compliance_status
1022,"Android Software Development Engineer, Last Mile Platform Services, Software Development Engineer",Amazon,Bengaluru,https://www.amazon.jobs/en/jobs/2930383/android-software-development-engineer-last-mile-platform-services-sde,full-time,intern,onsite,,,,2025-12-14 12:14:11.702574,2025-12-14 12:14:11.702574,1,software-development_amazon_jobs,amazon_jobs,conditional
1020,"Software Development Engineer, Search - Prime Video",Amazon,"Seattle, WA",https://www.amazon.jobs/en/jobs/2938870/software-development-engineer-search-prime-video,full-time,intern,onsite,,,,2025-12-14 12:14:11.682432,2025-12-14 12:14:11.682432,1,software-development_amazon_jobs,amazon_jobs,conditional
1017,"Software Development Engineer , Prime Video",Amazon,"Seattle, WA",https://www.amazon.jobs/en/jobs/2954508/software-development-engineer-prime-video,full-time,intern,onsite,,,,2025-12-14 12:14:11.664675,2025-12-14 12:14:11.664675,1,software-development_amazon_jobs,amazon_jobs,conditional
1014,"Software Development Engineer, Eero Software Services",Amazon,Bra,https://www.amazon.jobs/en/jobs/2892303/software-development-engineer-eero-software-services,full-time,intern,,,,,2025-12-14 12:14:11.652273,2025-12-14 12:14:11.652273,1,software-development_amazon_jobs,amazon_jobs,conditional
1007,"Software Development Engineer - Eero, Fdo",Amazon,Bra,https://www.amazon.jobs/en/jobs/2947850/software-development-engineer-eero-fdo,full-time,intern,,,,,2025-12-14 12:14:11.612243,2025-12-14 12:14:11.612243,1,software-development_amazon_jobs,amazon_jobs,conditional
1006,"Software Development Engineer, Selling Partner Financial Technology",Amazon,Bengaluru,https://www.amazon.jobs/en/jobs/3006090/software-development-engineer-selling-partner-financial-technology,full-time,intern,onsite,,,,2025-12-14 12:14:11.605199,2025-12-14 12:14:11.605199,1,software-development_amazon_jobs,amazon_jobs,conditional
997,"Software Development Engineer, Digital And Emerging Markets Payments Mx",Amazon,Mexico City,https://www.amazon.jobs/en/jobs/2862878/software-development-engineer-digital-and-emerging-markets-payments-mx,full-time,intern,onsite,,,,2025-12-14 12:14:11.569597,2025-12-14 12:14:11.569597,1,software-development_amazon_jobs,amazon_jobs,conditional
996,"Software Developer Engineer - Amazon Connect, Amazon Connect - Identity Management And Access Control",Amazon,NY,https://www.amazon.jobs/en/jobs/2911232/software-dev-engineer-amazon-connect-amazon-connect-identity-management-and-access-control,full-time,intern,onsite,,,,2025-12-14 12:14:11.562169,2025-12-14 12:14:11.562169,1,software-development_amazon_jobs,amazon_jobs,conditional
995,"System Validation Engineer, Graviton Platform",Amazon,Haifa,https://www.amazon.jobs/en/jobs/3006079/system-validation-engineer-graviton-platform,full-time,intern,onsite,,,,2025-12-14 12:14:11.557890,2025-12-14 12:14:11.557890,1,software-development_amazon_jobs,amazon_jobs,conditional
993,"Software Development Engineer, Amazon Pay Transaction Processing",Amazon,Bengaluru,https://www.amazon.jobs/en/jobs/2862523/software-development-engineer-amazon-pay-transaction-processing,full-time,intern,onsite,,,,2025-12-14 12:14:11.549953,2025-12-14 12:14:11.549953,1,software-development_amazon_jobs,amazon_jobs,conditional
